ID condition category distance answer native second problem
subject_3 obj_real bug 0.3 3 yes No No
subject_3 obj_real bird 0.6 4 yes No No
subject_3 obj_real tree 0.6 4 yes No No
subject_3 obj_real fish 0.1 1 yes No No
subject_3 obj_real bird 0.3 1 yes No No
subject_3 obj_real tree 0.1 1 yes No No
subject_3 obj_real tree 0.3 4 yes No No
subject_3 obj_real fish 0.3 4 yes No No
subject_3 obj_real bug 0.1 1 yes No No
subject_3 obj_real fish 0.6 5 yes No No
subject_3 obj_real bug 0.6 4 yes No No
subject_3 obj_real tree 0.1 2 yes No No
subject_3 obj_real bird 0.6 4 yes No No
subject_3 obj_real fish 0.6 4 yes No No
subject_3 obj_real fish 0.3 4 yes No No
subject_3 obj_real bird 0.1 1 yes No No
subject_3 obj_real bug 0.3 2 yes No No
subject_3 obj_real fish 0.1 3 yes No No
subject_3 obj_real tree 0.3 4 yes No No
subject_3 obj_real bird 0.3 1 yes No No
subject_3 obj_real tree 0.6 4 yes No No
subject_3 obj_real bug 0.1 1 yes No No
subject_3 obj_real tree 0.3 4 yes No No
subject_3 obj_real fish 0.1 4 yes No No
subject_3 obj_real fish 0.3 4 yes No No
subject_3 obj_real bird 0.1 1 yes No No
subject_3 obj_real tree 0.6 4 yes No No
subject_3 obj_real tree 0.1 2 yes No No
subject_3 obj_real bug 0.6 6 yes No No
subject_3 obj_real bug 0.3 6 yes No No
subject_3 obj_real bug 0.1 1 yes No No
subject_3 obj_real fish 0.6 4 yes No No
subject_3 obj_real bird 0.3 1 yes No No
subject_3 obj_real bird 0.6 4 yes No No
subject_3 sound_prac apa iden 4 yes No No
subject_3 sound_prac ah3a sim 1 yes No No
subject_3 sound_prac ama med 4 yes No No
subject_3 sound_prac lif diff 7 yes No No
subject_3 sound_prac ama iden 2 yes No No
subject_3 sound_prac adda sim 2 yes No No
subject_3 sound_prac ada med 5 yes No No
subject_3 sound_prac doof diff 7 yes No No
subject_3 sound_real lif diff 6 yes No No
subject_3 sound_real apa iden 1 yes No No
subject_3 sound_real doof diff 7 yes No No
subject_3 sound_real ama iden 1 yes No No
subject_3 sound_real ah3a sim 3 yes No No
subject_3 sound_real adda sim 2 yes No No
subject_3 sound_real ama med 5 yes No No
subject_3 sound_real ada med 5 yes No No
subject_3 sound_real adda sim 5 yes No No
subject_3 sound_real ah3a sim 5 yes No No
subject_3 sound_real ama med 6 yes No No
subject_3 sound_real lif diff 3 yes No No
subject_3 sound_real doof diff 7 yes No No
subject_3 sound_real apa iden 6 yes No No
subject_3 sound_real ada med 6 yes No No
subject_3 sound_real ama iden 1 yes No No
subject_3 sound_real adda sim 2 yes No No
subject_3 sound_real doof diff 7 yes No No
subject_3 sound_real lif diff 4 yes No No
subject_3 sound_real ada med 6 yes No No
subject_3 sound_real ah3a sim 4 yes No No
subject_3 sound_real ama iden 1 yes No No
subject_3 sound_real apa iden 2 yes No No
subject_3 sound_real ama med 5 yes No No
subject_4 obj_prac bird 0.1 3 yes No No
subject_4 obj_prac bird 0.3 4 yes No No
subject_4 obj_prac bird 0.6 5 yes No No
subject_4 obj_prac tree 0.1 1 yes No No
subject_4 obj_prac tree 0.3 3 yes No No
subject_4 obj_prac tree 0.6 5 yes No No
subject_4 obj_prac fish 0.1 1 yes No No
subject_4 obj_prac fish 0.3 3 yes No No
subject_4 obj_prac fish 0.6 6 yes No No
subject_4 obj_prac bug 0.1 1 yes No No
subject_4 obj_prac bug 0.3 1 yes No No
subject_4 obj_prac bug 0.6 5 yes No No
subject_4 obj_real bug 0.6 6 yes No No
subject_4 obj_real fish 0.3 4 yes No No
subject_4 obj_real bird 0.1 1 yes No No
subject_4 obj_real fish 0.6 6 yes No No
subject_4 obj_real fish 0.1 1 yes No No
subject_4 obj_real tree 0.3 2 yes No No
subject_4 obj_real bug 0.1 2 yes No No
subject_4 obj_real tree 0.6 4 yes No No
subject_4 obj_real tree 0.1 1 yes No No
subject_4 obj_real bug 0.3 4 yes No No
subject_4 obj_real bird 0.3 3 yes No No
subject_4 obj_real bird 0.6 5 yes No No
subject_4 obj_real tree 0.6 5 yes No No
subject_4 obj_real bird 0.6 5 yes No No
subject_4 obj_real fish 0.3 4 yes No No
subject_4 obj_real bug 0.1 3 yes No No
subject_4 obj_real bug 0.6 5 yes No No
subject_4 obj_real bird 0.3 3 yes No No
subject_4 obj_real tree 0.1 2 yes No No
subject_4 obj_real fish 0.6 6 yes No No
subject_4 obj_real tree 0.3 4 yes No No
subject_4 obj_real fish 0.1 2 yes No No
subject_4 obj_real bird 0.1 1 yes No No
subject_4 obj_real bug 0.3 3 yes No No
subject_4 obj_real bird 0.3 2 yes No No
subject_4 obj_real tree 0.1 2 yes No No
subject_4 obj_real bug 0.3 4 yes No No
subject_4 obj_real tree 0.3 4 yes No No
subject_4 obj_real fish 0.6 5 yes No No
subject_4 obj_real fish 0.3 3 yes No No
subject_4 obj_real bird 0.1 1 yes No No
subject_4 obj_real bug 0.6 6 yes No No
subject_4 obj_real fish 0.1 3 yes No No
subject_4 obj_real bug 0.1 3 yes No No
subject_4 obj_real tree 0.6 6 yes No No
subject_4 obj_real bird 0.6 6 yes No No
subject_4 sound_prac apa iden 1 yes No No
subject_4 sound_prac ah3a sim 4 yes No No
subject_4 sound_prac ama med 7 yes No No
subject_4 sound_prac lif diff 7 yes No No
subject_4 sound_prac ama iden 4 yes No No
subject_4 sound_prac adda sim 2 yes No No
subject_4 sound_prac ada med 7 yes No No
subject_4 sound_prac doof diff 7 yes No No
subject_4 sound_real ah3a sim 4 yes No No
subject_4 sound_real ama iden 1 yes No No
subject_4 sound_real lif diff 7 yes No No
subject_4 sound_real ama med 6 yes No No
subject_4 sound_real doof diff 7 yes No No
subject_4 sound_real ada med 7 yes No No
subject_4 sound_real apa iden 1 yes No No
